          56          37          56           6           6          15          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
          57          37          57          12           1          19           5 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
          58          42          58          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
          59          42          59          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
          60          37          60          13          16           8 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
          61          47          61           8          26          13 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
          62          42          62          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
          63          40          63           8           6          14          12 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
          64          38          64           6           5          19           8 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
          65          32          65          10           3          14           5 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
          66          42          66          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
          67          42          67          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
          68          42          68          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
          69          42          69          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
          70          48          70           6           6          10          11           4           6           5 --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
          71          47          71           6           4          24          13 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
          72          48          72          12           1           6          10           1          13           5 --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
          73          47          73          13          26           8 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
          74          37          74           8          16          13 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
          75          42          75          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
          76          37          76           6           6          15          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
          77          37          77          12           1          19           5 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
          78          42          78          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
          79          42          79          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
          80          42          80          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
          81          42          81          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
          82          42          82          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
          83          38          83           6           6          14          12 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
          84          27          84           6           6          10           5 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
          85          48          85           6           5          24          13 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
          86          34          86          12           3          14           5 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
          87          42          87          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
          88          37          88          13          16           8 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
          89          47          89           8          26          13 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
          90          42          90          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
          91          48          91           6           6          10          11           4           6           5 --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
          92          47          92           6           4          24          13 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
          93          48          93          12           1           6          10           1          13           5 --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
          94          47          94          13          26           8 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
          95          37          95           8          16          13 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
          96          42          96          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
          97          37          97          12           1          19           5 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
          98          42          98          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
          99          42          99          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         100          42         100          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         101          42         101          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         102          42         102          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         103          40         103           8           6          14          12 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         104          38         104           6           5          19           8 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         105          32         105          10           3          14           5 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         106          42         106          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         107          42         107          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         108          42         108          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         109          42         109          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         110          48         110           6           6          10          11           4           6           5 --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         111          47         111           6           4          24          13 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         112          48         112          12           1           6          10           1          13           5 --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         113          47         113          13          26           8 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         114          37         114           8          16          13 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
         115          42         115          11          21          10 --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --  -- 
